population2021,assault_rate2017,assault_rate2018,assault_rate2019,assault_rate2020,assault_rate2021,auto_theft_rate2017,auto_theft_rate2018,auto_theft_rate2019,auto_theft_rate2020,auto_theft_rate2021,break_and_enter_rate2017,break_and_enter_rate2018,break_and_enter_rate2019,break_and_enter_rate2020,break_and_enter_rate2021,robbery_rate2017,robbery_rate2018,robbery_rate2019,robbery_rate2020,robbery_rate2021,theft_over_rate2017,theft_over_rate2018,theft_over_rate2019,theft_over_rate2020,theft_over_rate2021,homicide_rate2017,homicide_rate2018,homicide_rate2019,homicide_rate2020,homicide_rate2021,shootings_rate2017,shootings_rate2018,shootings_rate2019,shootings_rate2020,shootings_rate2021,theftfrom_motor_vehicle_rate2017,theftfrom_motor_vehicle_rate2018,theftfrom_motor_vehicle_rate2019,theftfrom_motor_vehicle_rate2020,theftfrom_motor_vehicle_rate2021
39218,642.6434,622.2775,633.4125,479.8186,670.6104,46.95111,50.91362,81.90679,71.18188,61.19639,258.2311,200.8259,404.0735,287.3639,234.5862,29.34444,33.94241,49.14407,55.36369,43.34744,35.21333,42.42801,49.14407,29.00003,58.64654,NA,NA,NA,2.636366,NA,8.803333,19.79974,2.730226,7.909098,22.94864603,363.8711,251.7395,270.2924,218.8184,226.9366107
7223,947.1077,761.6037,993.1896,729.3127,872.2137,174.8506,201.1783,184.4495,210.3787,249.2039,233.1342,359.247,156.0726,98.17672,96.91264,160.2798,201.1783,170.2611,56.10098,179.9806,29.14178,NA,42.56527,42.07574,NA,NA,NA,NA,NA,27.68932576,14.57089,NA,70.94211,NA,69.22331441,262.276,172.4386,113.5074,294.5302,179.9806175
24874,488.2227,462.924,409.7682,362.4221,402.0262,38.5439,84.168,111.755,73.29886,80.40524,231.2634,256.7124,277.3179,130.3091,152.77,158.4582,109.4184,66.22517,73.29886,48.24314,8.56531,16.8336,20.69536,16.28864,20.10131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.0021,126.252,190.3974,187.3193,116.5876015
26999,337.9991,285.1006,383.9361,290.6318,296.3073,55.67043,78.10974,99.82339,154.752,92.59602,159.0584,175.7469,207.3255,188.722,107.4114,83.50565,46.86584,84.46594,37.7444,33.33457,35.78814,11.71646,49.91169,30.19552,14.81536,NA,7.810975,7.678722,NA,NA,19.8823,7.810975,15.35744,7.548879,7.407681766,210.7523,101.5427,218.8436,188.722,111.1152265
14240,517.5432,372.9951,467.358,251.022,280.8989,106.553,149.1981,197.1666,107.5809,196.6292,220.7169,223.7971,240.9814,100.4088,42.13483,136.9967,37.29951,102.2346,14.34412,14.04494,7.610929,22.37971,7.302468,14.34412,7.022472,NA,7.459903,7.302468,NA,7.02247191,7.610929,22.37971,7.302468,7.172058,NA,403.3792,156.658,321.3086,329.9146,168.5393258
20968,808.7076,890.9355,1139.278,1145.909,1292.446,71.20695,55.05781,103.5707,131.0998,95.38344,244.1381,355.3731,345.2357,296.1884,214.6127,188.1898,140.1472,162.754,189.3663,76.30676,40.68969,15.01577,73.97909,43.69993,14.30752,NA,NA,NA,NA,NA,5.086211,20.02102,9.863878,NA,4.769172072,274.6554,455.4782,488.262,373.8772,190.7668829
16026,1134.5,1106.445,1047.904,991.4204,1166.854,75.1777,99.98,52.06977,133.4604,131.0371,471.5692,433.2467,331.9448,228.7893,180.9559,252.8704,246.6173,208.2791,177.9473,143.5168,6.834336,26.66133,39.05233,25.42104,31.1993,NA,NA,NA,6.355259,NA,41.00602,33.32667,13.01744,50.84207,18.71958068,369.0541,393.2547,318.9274,292.3419,411.830775
24151,494.6676,588.73,565.9236,624.657,592.108,22.69117,137.2228,138.2409,223.6948,298.1243,326.7529,274.4456,436.3228,417.8449,264.9994,140.6853,119.5166,90.72058,92.85443,120.0778,45.38235,48.69196,60.48039,42.20656,33.12492,NA,NA,NA,NA,4.140615295,NA,NA,4.320028,4.220656,4.140615295,240.5264,314.2845,276.4818,215.2534,140.78092
22760,534.9048,566.0123,704.6022,509.1199,434.9736,45.33092,130.2727,169.4613,106.2511,127.4165,185.8568,85.35106,218.5159,141.6681,153.7786,108.7942,80.8589,187.2993,101.824,57.11775,22.66546,8.984323,8.919015,13.28139,35.14938,NA,8.984323,8.919015,8.854259,NA,4.533092,31.44513,66.89262,30.98991,13.18101933,281.0517,157.2256,222.9754,212.5022,246.0456942
30161,695.6881,715.9661,827.3673,585.9898,722.7877,244.524,303.4332,344.455,314.7603,301.7141,299.6281,340.9362,297.1768,267.8811,232.0878,117.096,119.3277,104.6873,97.10689,89.51958,37.88401,44.32171,47.27813,43.53067,49.7331,NA,3.409362,3.377009,3.348513,3.315539936,10.332,13.63745,10.13103,6.697027,13.26215974,461.4961,330.7081,297.1768,455.3978,474.1222108
25218,878.1882,778.1457,811.6155,614.8282,646.3637,126.0557,49.66887,110.1187,132.61,162.5823,235.304,186.2583,236.5512,92.42516,118.9626,155.4687,149.0066,146.8249,92.42516,67.41216,4.201857,24.83444,32.62776,32.14788,3.965421,4.201857,8.278146,8.15694,8.03697,11.89626457,42.01857,4.139073,24.47082,44.20333,27.75795067,222.6984,277.3179,256.9436,369.7006,198.2710762
10112,621.3078,565.828,712.2793,487.8049,652.6899,112.0391,333.4344,280.8989,418.1185,504.3513,122.2245,70.7285,100.321,139.3728,98.8924,203.7075,131.3529,150.4815,69.68641,69.22469,20.37075,10.10407,40.12841,19.9104,29.66772,20.37075,NA,NA,NA,NA,61.11224,30.31222,70.22472,NA,59.33544304,203.7075,191.9774,250.8026,338.4769,178.0063291
32003,240.5034,259.7656,259.4823,218.2301,193.7318,108.7207,139.624,134.5464,196.0908,149.9859,161.4338,224.0478,179.3952,53.76684,56.24473,72.48048,139.624,118.529,53.76684,18.74824,36.24024,12.98828,6.406971,15.81378,6.249414,NA,NA,NA,NA,NA,3.294567,NA,6.406971,6.325511,3.124707059,319.573,224.0478,217.837,189.7653,99.99062588
28102,440.1269,450.7455,453.4723,477.9975,555.1206,134.8136,146.396,217.3669,229.8767,138.7802,364.7899,358.2849,374.7704,299.2046,156.5725,130.8485,127.1333,108.6834,65.67905,64.05238,51.54639,38.52525,56.21557,29.19069,21.35079,NA,NA,NA,7.297672,3.55846559,15.86043,19.26263,7.495409,3.648836,17.79232795,329.1039,277.3818,217.3669,240.8232,306.0280407
